ID,name_of_agent,longitude,latitude,time_of_measure,NO2_concentration,O3_concentration,PM10_concentration,PM25_concentration
0,worker[5],892385.6770131454,6247539.710884575,date ('2021-05-27 09:20:00'),59.53333536783854,64.76666666666667,29.8000005086263,10.266667048136393
1,worker[5],892413.5141806707,6247529.306578541,date ('2021-05-27 09:20:05'),69.94444621933832,64.74680555555555,31.82513825363583,10.831805556350284
2,worker[5],892425.7769592097,6247509.161802703,date ('2021-05-27 09:20:10'),66.75666717953152,64.76027777777777,30.716944694519043,10.530277588632371
3,worker[5],892439.1356588424,6247489.710527833,date ('2021-05-27 09:20:15'),60.93875126838684,64.77375,30.14249873161316,10.362499809265136
4,worker[5],892451.8323568037,6247469.8041657,date ('2021-05-27 09:20:20'),68.54555604722765,64.78722222222223,31.500555684831408,10.727222474416097
5,worker[5],892464.5618921225,6247449.932700992,date ('2021-05-27 09:20:25'),62.99583180745443,64.73472222222222,30.992361240916782,10.625694314638773
6,worker[5],892474.8682834349,6247428.711818705,date ('2021-05-27 09:20:30'),60.811668936411536,64.81416666666667,30.518333594004314,10.524166480700176
7,worker[5],892487.6816428594,6247408.8801425705,date ('2021-05-27 09:20:35'),62.25416819254557,64.72763888888889,30.97597235308753,10.62263875802358
8,worker[5],892500.5376419253,6247389.075904238,date ('2021-05-27 09:20:40'),62.23333485921224,64.74111111111111,30.967777909172906,10.621110979715983
9,worker[5],892510.8189913413,6247368.3803319875,date ('2021-05-27 09:20:45'),62.61250173250834,64.75458333333333,31.159583568572998,10.719583582878112
10,worker[5],892518.1270826565,6247348.156186297,date ('2021-05-27 09:20:50'),69.80972295337253,64.76805555555555,32.416666666666664,11.052777396308052
11,worker[5],892538.2212678305,6247342.865948716,date ('2021-05-27 09:20:55'),68.92222222222222,64.78152777777777,32.273472950193614,10.916527835528056
12,worker[5],892551.0897653449,6247323.070035726,date ('2021-05-27 09:21:00'),67.00499973297119,64.795,31.9,10.915000057220459
13,worker[5],892563.8949589224,6247303.232913873,date ('2021-05-27 09:21:05'),60.034581353929305,64.80847222222222,30.791667522324456,10.613472088177998
14,worker[5],892576.6894018942,6247283.388851963,date ('2021-05-27 09:21:10'),64.93194597032335,64.82194444444444,31.483332480324638,10.811944455570645
15,worker[5],892589.4707724274,6247263.5363676045,date ('2021-05-27 09:21:15'),55.94166819254557,64.83541666666666,30.174999237060547,10.34583314259847
16,worker[5],892602.2521429606,6247243.683883247,date ('2021-05-27 09:21:20'),62.8955569797092,64.84888888888888,31.166665903727214,10.708889134724934
17,worker[5],892615.0143664905,6247223.819123326,date ('2021-05-27 09:21:25'),58.92430402967665,64.7623611111111,30.75833417839474,10.607360974947612
18,worker[5],892627.7198938266,6247203.918014236,date ('2021-05-27 09:21:30'),61.525001525878906,64.84,31.21416737238566,10.705833578109742
