ID,name_of_agent,longitude,latitude,time_of_measure,NO2_concentration,O3_concentration,PM10_concentration,PM25_concentration
0,worker[145],902845.5422117757,6247431.46860386,date ('2021-05-27 07:45:00'),32.27500009536743,41.9,27.925000190734863,9.950000047683716
1,worker[145],902824.1993797759,6247397.841273189,date ('2021-05-27 07:45:05'),32.48458371692234,41.89833333333333,28.00666714509328,10.051944157812331
2,worker[145],902809.6602028423,6247389.695670437,date ('2021-05-27 07:45:10'),32.86944339010451,41.89666666666667,28.013333813349405,10.053888601726955
3,worker[145],902794.5488144144,6247387.702529794,date ('2021-05-27 07:45:15'),32.879165609677635,41.895,28.02000048160553,10.055833045641581
4,worker[145],902784.6144738052,6247401.037294244,date ('2021-05-27 07:45:20'),33.51333372328016,41.89333333333333,28.126666090223523,10.057777489556207
5,worker[145],902775.051580618,6247414.687526904,date ('2021-05-27 07:45:25'),33.69861217339834,41.891666666666666,28.13333275583055,10.059721933470833
6,worker[145],902765.4886874309,6247428.337759564,date ('2021-05-27 07:45:30'),33.708334398269656,41.89,28.13999942143758,10.061666377385457
7,worker[145],902755.9257942437,6247441.987992224,date ('2021-05-27 07:45:35'),36.52194377316369,41.888333333333335,28.346666849984064,10.063610821300083
8,worker[145],902746.3629010565,6247455.638224884,date ('2021-05-27 07:45:40'),36.53222155041165,41.88666666666667,28.353333515591093,10.065555265214709
9,worker[145],902737.8579737437,6247469.933407931,date ('2021-05-27 07:45:45'),43.42875080108642,41.885,28.759999799728394,10.315000200271607
10,worker[145],902729.3928199864,6247483.159536417,date ('2021-05-27 07:45:50'),53.34027719497681,41.959722222222226,30.443056027094524,10.793055891990662
11,worker[145],902708.7700304507,6247471.717250706,date ('2021-05-27 07:45:55'),55.204861874050565,41.958194444444445,30.573333827654523,10.818333535724216
12,worker[145],902696.2369148773,6247459.113112422,date ('2021-05-27 07:46:00'),44.69333356221517,41.88,28.98000011444092,10.32000020345052
13,worker[145],902695.7185119092,6247442.493410048,date ('2021-05-27 07:46:05'),44.70527800983853,41.87833333333333,28.986666782697043,10.321666871176825
14,worker[145],902701.5650672405,6247427.546809917,date ('2021-05-27 07:46:10'),37.524721723132664,41.876666666666665,28.57027818891737,10.177222310172187
15,worker[145],902710.9976948592,6247413.806238095,date ('2021-05-27 07:46:15'),37.53541616598765,41.875,28.577083746592205,10.179166754086813
16,worker[145],902720.4303224777,6247400.065666274,date ('2021-05-27 07:46:20'),34.38277769088745,41.873333333333335,28.306666458977592,10.08111081653171
17,worker[145],902729.002102698,6247385.795066808,date ('2021-05-27 07:46:25'),34.01527668370141,41.87166666666667,28.313333124584624,10.083055260446336
18,worker[145],902735.8022765134,6247370.72584874,date ('2021-05-27 07:46:30'),34.024998903274536,41.87,28.319999790191652,10.084999704360962
19,worker[145],902737.0307203174,6247354.1647145245,date ('2021-05-27 07:46:35'),33.91236102581024,41.79069444444444,28.32666645579868,10.086944148275588
20,worker[145],902738.4949189103,6247337.569031993,date ('2021-05-27 07:46:40'),33.04444334242079,41.78888888888889,28.23333273993598,10.088888592190212
21,worker[145],902739.2559562895,6247320.91974973,date ('2021-05-27 07:46:45'),32.85416777133942,41.787083333333335,28.339999787012736,10.090833036104838
22,worker[145],902739.6045334853,6247304.258182853,date ('2021-05-27 07:46:50'),32.86388999621073,41.78527777777778,28.346666452619765,10.092777480019464
23,worker[145],902737.5821106044,6247287.975999039,date ('2021-05-27 07:46:55'),32.873612221082055,41.78347222222222,28.353333118226793,10.094721923934088
24,worker[145],902737.91848633,6247271.312727177,date ('2021-05-27 07:47:00'),32.883334445953366,41.781666666666666,28.35999978383382,10.096666367848714
25,worker[145],902738.1369208127,6247263.969243447,date ('2021-05-27 07:47:05'),32.893056670824684,41.77986111111111,28.36666644944085,10.09861081176334
26,worker[145],902738.3326855318,6247258.417138108,date ('2021-05-27 07:47:10'),32.902778895696,41.699444444444445,28.394722085528905,10.100555255677964
27,worker[145],902738.4737024133,6247252.86375225,date ('2021-05-27 07:47:15'),32.91250112056732,41.6975,28.401249861717226,10.10249969959259
28,worker[145],902738.5377302968,6247247.308565668,date ('2021-05-27 07:47:20'),32.92222334543864,41.69555555555555,28.407777637905546,10.104444143507216
29,worker[145],902738.6017581805,6247241.753379086,date ('2021-05-27 07:47:25'),32.931945570309956,41.69361111111111,28.414305414093864,10.106388587421842
30,worker[145],902738.0948207821,6247236.274221711,date ('2021-05-27 07:47:30'),33.14166553815206,41.69166666666666,28.50000015894572,10.208333412806192
31,worker[145],902736.5793524988,6247230.929359373,date ('2021-05-27 07:47:35'),33.851388125949434,41.68972222222222,28.58597268263499,10.210277856720818
32,worker[145],902735.0638842154,6247225.584497035,date ('2021-05-27 07:47:40'),33.86111034817166,41.687777777777775,28.592778237660724,10.212222300635444
33,worker[145],902730.0935286679,6247223.149628698,date ('2021-05-27 07:47:45'),33.87083257039388,41.685833333333335,28.599583792686463,10.21416674455007
34,worker[145],902726.4359986912,6247219.570483516,date ('2021-05-27 07:47:50'),33.8805547926161,41.68388888888889,28.6063893477122,10.216111188464694
35,worker[145],902724.7457577524,6247214.27829275,date ('2021-05-27 07:47:55'),33.890277014838325,41.68194444444444,28.613194902737934,10.21805563237932
36,worker[145],902723.0555168136,6247208.986101985,date ('2021-05-27 07:48:00'),34.079999923706055,41.68,28.620000457763673,10.220000076293946
37,worker[145],902724.9904107534,6247203.884503141,date ('2021-05-27 07:48:05'),34.089861035346985,41.67805555555555,28.62680601278941,10.22194452020857
38,worker[145],902727.226274564,6247198.798727826,date ('2021-05-27 07:48:10'),34.099722146987915,41.67611111111111,28.633611567815144,10.223888964123196
39,worker[145],902729.4621383746,6247193.712952512,date ('2021-05-27 07:48:15'),34.109583258628845,41.674166666666665,28.64041712284088,10.225833408037822
40,worker[145],902731.6980021851,6247188.6271771975,date ('2021-05-27 07:48:20'),34.119444370269775,41.67222222222222,28.64722267786662,10.227777851952446
41,worker[145],902733.9338659956,6247183.541401883,date ('2021-05-27 07:48:25'),34.4293050871955,41.67027777777778,28.754028246137832,10.229722295867072
42,worker[145],902738.2019097544,6247173.793071659,date ('2021-05-27 07:48:30'),34.05833449363708,41.66833333333333,28.66083378791809,10.231666739781698
43,worker[145],902744.8772228878,6247158.521595884,date ('2021-05-27 07:48:35'),34.26805439260271,41.66638888888889,28.767639361487493,10.233611183696324
44,worker[145],902751.5525360213,6247143.250120109,date ('2021-05-27 07:48:40'),34.277776612175835,41.66444444444444,28.774444919162327,10.235555627610948
45,worker[145],902758.2278491548,6247127.978644334,date ('2021-05-27 07:48:45'),34.46874952316284,41.58125,28.800000548362732,10.237500071525574
46,worker[145],902764.9031622882,6247112.707168559,date ('2021-05-27 07:48:50'),34.097223393122356,41.579166666666666,28.78805603451199,10.2394445154402
47,worker[145],902771.5782588226,6247097.435598135,date ('2021-05-27 07:48:55'),34.30694327089522,41.57708333333333,28.794861592186823,10.241388959354824
48,worker[145],902774.0088235557,6247084.131720996,date ('2021-05-27 07:49:00'),34.49833285013835,41.574999999999996,28.820000553131102,10.24333340326945
