ID,name_of_agent,longitude,latitude,time_of_measure,NO2_concentration,predicted_NO2_concentration,O3_concentration,predicted_O3_concentration,PM10_concentration,predicted_PM10_concentration,PM25_concentration,predicted_PM25_concentration
0,worker[145],902845.5422117757,6247431.46860386,date ('2021-05-27 07:45:00'),32.27500009536743,38.90377272006975,41.9,0.0,27.925000190734863,0.0,9.950000047683716,0.0
1,worker[145],902824.1993797759,6247397.841273189,date ('2021-05-27 07:45:05'),32.48458371692234,22.346180092975757,41.89833333333333,0.0,28.00666714509328,0.0,10.051944157812331,0.0
2,worker[145],902809.6602028423,6247389.695670437,date ('2021-05-27 07:45:10'),32.86944339010451,-21.130525102188898,41.89666666666667,0.0,28.013333813349405,0.0,10.053888601726955,0.0
3,worker[145],902794.5488144144,6247387.702529794,date ('2021-05-27 07:45:15'),32.879165609677635,-101.08133022669792,41.895,0.0,28.02000048160553,0.0,10.055833045641581,0.0
4,worker[145],902784.6144738052,6247401.037294244,date ('2021-05-27 07:45:20'),33.51333372328016,-145.1384027268333,41.89333333333333,0.0,28.126666090223523,0.0,10.057777489556207,0.0
5,worker[145],902775.051580618,6247414.687526904,date ('2021-05-27 07:45:25'),33.69861217339834,-163.81834705283822,41.891666666666666,0.0,28.13333275583055,0.0,10.059721933470833,0.0
6,worker[145],902765.4886874309,6247428.337759564,date ('2021-05-27 07:45:30'),33.708334398269656,-235.80843997228908,41.89,0.0,28.13999942143758,0.0,10.061666377385457,0.0
7,worker[145],902755.9257942437,6247441.987992224,date ('2021-05-27 07:45:35'),36.52194377316369,-263.23671394698874,41.888333333333335,0.0,28.346666849984064,0.0,10.063610821300083,0.0
8,worker[145],902746.3629010565,6247455.638224884,date ('2021-05-27 07:45:40'),36.53222155041165,-210.4106428653823,41.88666666666667,0.0,28.353333515591093,0.0,10.065555265214709,0.0
9,worker[145],902737.8579737437,6247469.933407931,date ('2021-05-27 07:45:45'),43.42875080108642,-169.80481537037818,41.885,0.0,28.759999799728394,0.0,10.315000200271607,0.0
10,worker[145],902729.3928199864,6247483.159536417,date ('2021-05-27 07:45:50'),53.34027719497681,-92.59416871272512,41.959722222222226,0.0,30.443056027094524,0.0,10.793055891990662,0.0
11,worker[145],902708.7700304507,6247471.717250706,date ('2021-05-27 07:45:55'),55.204861874050565,-119.88997634025183,41.958194444444445,0.0,30.573333827654523,0.0,10.818333535724216,0.0
12,worker[145],902696.2369148773,6247459.113112422,date ('2021-05-27 07:46:00'),44.69333356221517,-96.13574220726136,41.88,0.0,28.98000011444092,0.0,10.32000020345052,0.0
13,worker[145],902695.7185119092,6247442.493410048,date ('2021-05-27 07:46:05'),44.70527800983853,-102.84822184802725,41.87833333333333,0.0,28.986666782697043,0.0,10.321666871176825,0.0
14,worker[145],902701.5650672405,6247427.546809917,date ('2021-05-27 07:46:10'),37.524721723132664,-141.30239055758418,41.876666666666665,0.0,28.57027818891737,0.0,10.177222310172187,0.0
15,worker[145],902710.9976948592,6247413.806238095,date ('2021-05-27 07:46:15'),37.53541616598765,-195.31642392065487,41.875,0.0,28.577083746592205,0.0,10.179166754086813,0.0
16,worker[145],902720.4303224777,6247400.065666274,date ('2021-05-27 07:46:20'),34.38277769088745,-201.57753982158337,41.873333333333335,0.0,28.306666458977592,0.0,10.08111081653171,0.0
17,worker[145],902729.002102698,6247385.795066808,date ('2021-05-27 07:46:25'),34.01527668370141,-169.40502829264878,41.87166666666667,0.0,28.313333124584624,0.0,10.083055260446336,0.0
18,worker[145],902735.8022765134,6247370.72584874,date ('2021-05-27 07:46:30'),34.024998903274536,-96.6034382640108,41.87,0.0,28.319999790191652,0.0,10.084999704360962,0.0
19,worker[145],902737.0307203174,6247354.1647145245,date ('2021-05-27 07:46:35'),33.91236102581024,-40.128740713279306,41.79069444444444,0.0,28.32666645579868,0.0,10.086944148275588,0.0
20,worker[145],902738.4949189103,6247337.569031993,date ('2021-05-27 07:46:40'),33.04444334242079,-54.805274346105186,41.78888888888889,0.0,28.23333273993598,0.0,10.088888592190212,0.0
21,worker[145],902739.2559562895,6247320.91974973,date ('2021-05-27 07:46:45'),32.85416777133942,-58.37138902444973,41.787083333333335,0.0,28.339999787012736,0.0,10.090833036104838,0.0
22,worker[145],902739.6045334853,6247304.258182853,date ('2021-05-27 07:46:50'),32.86388999621073,-33.46750737284177,41.78527777777778,0.0,28.346666452619765,0.0,10.092777480019464,0.0
23,worker[145],902737.5821106044,6247287.975999039,date ('2021-05-27 07:46:55'),32.873612221082055,-36.13280248942047,41.78347222222222,0.0,28.353333118226793,0.0,10.094721923934088,0.0
24,worker[145],902737.91848633,6247271.312727177,date ('2021-05-27 07:47:00'),32.883334445953366,-22.309280853669076,41.781666666666666,0.0,28.35999978383382,0.0,10.096666367848714,0.0
25,worker[145],902738.1369208127,6247263.969243447,date ('2021-05-27 07:47:05'),32.893056670824684,-10.748550690848543,41.77986111111111,0.0,28.36666644944085,0.0,10.09861081176334,0.0
26,worker[145],902738.3326855318,6247258.417138108,date ('2021-05-27 07:47:10'),32.902778895696,-4.921910784480119,41.699444444444445,0.0,28.394722085528905,0.0,10.100555255677964,0.0
27,worker[145],902738.4737024133,6247252.86375225,date ('2021-05-27 07:47:15'),32.91250112056732,-1.2134956214371488,41.6975,0.0,28.401249861717226,0.0,10.10249969959259,0.0
28,worker[145],902738.5377302968,6247247.308565668,date ('2021-05-27 07:47:20'),32.92222334543864,2.4055752310361207,41.69555555555555,0.0,28.407777637905546,0.0,10.104444143507216,0.0
29,worker[145],902738.6017581805,6247241.753379086,date ('2021-05-27 07:47:25'),32.931945570309956,10.088848780989872,41.69361111111111,0.0,28.414305414093864,0.0,10.106388587421842,0.0
